epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1989.74,1.16375,1.12059,1.20936,0.6753,0.66721,0.68605,0.42922,1.29241,1.20031,1.30121,0.0005941,0.0005941,0.0005941
43,2031.76,1.16256,1.09698,1.20978,0.74321,0.61636,0.69293,0.43333,1.30571,1.19904,1.29909,0.0005842,0.0005842,0.0005842
44,2073.54,1.15676,1.08254,1.19953,0.71791,0.62712,0.69394,0.43862,1.29907,1.16788,1.29629,0.0005743,0.0005743,0.0005743
45,2115.58,1.14328,1.06394,1.19581,0.70993,0.64824,0.68676,0.43183,1.3092,1.18605,1.3064,0.0005644,0.0005644,0.0005644
46,2157.73,1.1333,1.05558,1.18805,0.70919,0.65341,0.70476,0.44549,1.28444,1.13925,1.27773,0.0005545,0.0005545,0.0005545
47,2200.07,1.11884,1.03814,1.17878,0.70285,0.66078,0.70054,0.44067,1.29995,1.15906,1.29723,0.0005446,0.0005446,0.0005446
48,2242.88,1.12652,1.03807,1.18118,0.68555,0.68236,0.69126,0.44094,1.28478,1.15098,1.28329,0.0005347,0.0005347,0.0005347
49,2285.03,1.11699,1.02213,1.1734,0.74606,0.63192,0.70205,0.44684,1.29719,1.1466,1.29625,0.0005248,0.0005248,0.0005248
50,2327.53,1.12735,1.03335,1.18031,0.69359,0.65208,0.69561,0.44071,1.29276,1.16015,1.28214,0.0005149,0.0005149,0.0005149
51,2369.72,1.11287,1.00709,1.16849,0.74336,0.63226,0.70737,0.44363,1.28678,1.13779,1.29347,0.000505,0.000505,0.000505
52,2411.83,1.10456,0.9894,1.16311,0.74511,0.66674,0.72705,0.45224,1.28468,1.11446,1.27781,0.0004951,0.0004951,0.0004951
53,2454.01,1.09913,0.99124,1.16639,0.75664,0.64602,0.71532,0.45623,1.27585,1.12933,1.2738,0.0004852,0.0004852,0.0004852
54,2496.3,1.10101,0.98605,1.16331,0.74854,0.67572,0.7277,0.45634,1.28047,1.09611,1.27402,0.0004753,0.0004753,0.0004753
55,2538.67,1.0887,0.97123,1.15904,0.77063,0.65618,0.72012,0.45543,1.29631,1.12448,1.29481,0.0004654,0.0004654,0.0004654
56,2580.7,1.08841,0.97351,1.1586,0.73607,0.64334,0.70882,0.45975,1.27922,1.12466,1.27323,0.0004555,0.0004555,0.0004555
57,2622.83,1.09334,0.9518,1.15233,0.76693,0.65873,0.72676,0.46421,1.28433,1.11858,1.29119,0.0004456,0.0004456,0.0004456
58,2665.19,1.06581,0.94418,1.14,0.74461,0.66322,0.72307,0.45806,1.28605,1.10575,1.28984,0.0004357,0.0004357,0.0004357
59,2707.47,1.09399,0.95289,1.15775,0.78105,0.65653,0.73518,0.46597,1.26974,1.07008,1.26698,0.0004258,0.0004258,0.0004258
60,2749.73,1.07233,0.93053,1.14084,0.76961,0.65205,0.72292,0.46297,1.2739,1.09408,1.27501,0.0004159,0.0004159,0.0004159
61,2791.96,1.06529,0.9264,1.14215,0.71962,0.70607,0.7389,0.48121,1.27598,1.05978,1.27125,0.000406,0.000406,0.000406
62,2833.96,1.06409,0.91873,1.13748,0.76441,0.66926,0.73909,0.47774,1.2756,1.07044,1.26718,0.0003961,0.0003961,0.0003961
63,2876.46,1.06389,0.91394,1.13299,0.72656,0.6851,0.72882,0.4674,1.26796,1.09744,1.26839,0.0003862,0.0003862,0.0003862
64,2918.76,1.04325,0.89049,1.12404,0.74812,0.64287,0.71848,0.46326,1.28446,1.08887,1.28243,0.0003763,0.0003763,0.0003763
65,2961.32,1.0487,0.88806,1.12406,0.71771,0.68005,0.72352,0.46162,1.27409,1.07445,1.2726,0.0003664,0.0003664,0.0003664
66,3003.5,1.04937,0.88389,1.12634,0.76633,0.65195,0.72165,0.4653,1.28211,1.06393,1.27082,0.0003565,0.0003565,0.0003565
67,3045.86,1.04202,0.87628,1.11643,0.77973,0.66665,0.74537,0.47825,1.2827,1.05763,1.27958,0.0003466,0.0003466,0.0003466
